Melbourne,3096,storm,low,flood,low,none,low,none,low
Melbourne,3099,storm,low,flood,low,none,low,none,low
Melbourne,3100,storm,low,flood,low,none,low,none,low
Melbourne,3101,storm,low,flood,low,none,low,none,low
Melbourne,3102,storm,low,flood,low,none,low,none,low
Melbourne,3103,storm,low,flood,low,none,low,none,low
Melbourne,3104,storm,low,flood,low,none,low,none,low
Melbourne,3105,storm,low,flood,low,none,low,none,low
Melbourne,3106,storm,low,flood,low,none,low,none,low
Melbourne,3107,storm,low,flood,low,none,low,none,low
Manningham,3108,storm,low,flood,low,none,low,none,low
Melbourne,3108,storm,low,flood,low,none,low,none,low
Melbourne,3109,storm,low,flood,low,none,low,none,low
Melbourne,3111,storm,low,flood,low,none,low,none,low
Melbourne,3113,storm,low,flood,low,none,low,none,low
Melbourne,3114,storm,low,flood,low,none,low,none,low
Melbourne,3115,storm,low,flood,low,none,low,none,low
Melbourne,3116,storm,low,flood,low,none,low,none,low
Melbourne,3121,storm,low,flood,low,none,low,none,low
Melbourne,3122,storm,low,flood,low,none,low,none,low
Melbourne,3123,storm,low,flood,low,none,low,none,low
Melbourne,3124,storm,low,flood,low,none,low,none,low
Melbourne,3125,storm,low,flood,low,none,low,none,low
Melbourne,3126,storm,low,flood,low,none,low,none,low
Melbourne,3127,storm,low,flood,low,none,low,none,low
Melbourne,3128,storm,low,flood,low,none,low,none,low
Melbourne,3129,storm,low,flood,low,none,low,none,low
Melbourne,3130,storm,low,flood,low,none,low,none,low
Melbourne,3131,storm,low,flood,low,none,low,none,low
Melbourne,3132,storm,low,flood,low,none,low,none,low
Melbourne,3133,storm,low,flood,low,none,low,none,low
Maroondah,3134,storm,low,flood,low,none,low,none,low
Melbourne,3134,storm,low,flood,low,none,low,none,low
Melbourne,3135,storm,low,flood,low,none,low,none,low
Melbourne,3136,storm,low,flood,low,none,low,none,low
Melbourne,3137,storm,low,flood,low,none,low,none,low
Melbourne,3138,storm,low,flood,low,none,low,none,low
Melbourne,3139,storm,low,flood,low,none,low,none,low
Melbourne,3140,storm,low,flood,low,none,low,none,low
Yarra Ranges,3140,storm,high,flood,high,bushfire,medium,none,low
Melbourne,3141,storm,low,flood,low,none,low,none,low
Yarra,3141,storm,low,flood,low,none,low,none,low
Melbourne,3142,storm,low,flood,low,none,low,none,low
Melbourne,3143,storm,low,flood,low,none,low,none,low
Melbourne,3144,storm,low,flood,low,none,low,none,low
Stonnington,3144,storm,low,flood,low,none,low,none,low
Melbourne,3145,storm,low,flood,low,none,low,none,low
Glen Eira,3146,storm,low,flood,low,none,low,none,low
Melbourne,3146,storm,low,flood,low,none,low,none,low
Boroondara,3147,storm,low,flood,low,none,low,none,low
Melbourne,3147,storm,low,flood,low,none,low,none,low
Melbourne,3148,storm,low,flood,low,none,low,none,low
Melbourne,3149,storm,low,flood,low,none,low,none,low
Melbourne,3150,storm,low,flood,low,none,low,none,low
Melbourne,3151,storm,low,flood,low,none,low,none,low
Knox,3152,storm,medium,flood,medium,bushfire,low,none,low
Melbourne,3152,storm,low,flood,low,none,low,none,low
Melbourne,3153,storm,low,flood,low,none,low,none,low
Melbourne,3154,storm,low,flood,low,none,low,none,low
Melbourne,3155,storm,low,flood,low,none,low,none,low
Melbourne,3156,storm,low,flood,low,none,low,none,low
Melbourne,3158,storm,low,flood,low,none,low,none,low
Melbourne,3159,storm,low,flood,low,none,low,none,low
Melbourne,3160,storm,low,flood,low,none,low,none,low
Melbourne,3161,storm,low,flood,low,none,low,none,low
Melbourne,3162,storm,low,flood,low,none,low,none,low
Melbourne,3163,storm,low,flood,low,none,low,none,low
Greater Dandenong,3164,storm,low,flood,low,bushfire,low,none,low
Melbourne,3165,storm,low,flood,low,none,low,none,low
Melbourne,3166,storm,low,flood,low,none,low,none,low
Greater Dandenong,3167,storm,low,flood,low,bushfire,low,none,low
Melbourne,3167,storm,low,flood,low,none,low,none,low
Melbourne,3168,storm,low,flood,low,none,low,none,low
Melbourne,3169,storm,low,flood,low,none,low,none,low
Melbourne,3170,storm,low,flood,low,none,low,none,low
Melbourne,3171,storm,low,flood,low,none,low,none,low
Melbourne,3172,storm,low,flood,low,none,low,none,low
Melbourne,3173,storm,low,flood,low,none,low,none,low
Melbourne,3174,storm,low,flood,low,none,low,none,low
Greater Dandenong,3175,storm,low,flood,low,bushfire,low,none,low
Melbourne,3175,storm,low,flood,low,none,low,none,low
Melbourne,3177,storm,low,flood,low,none,low,none,low
Melbourne,3178,storm,low,flood,low,none,low,none,low
